idx,L:D7TOR,L:D7TOR Timestamp,L:TO3IN,L:TO3IN Timestamp,L:RFQPAH,L:RFQPAH Timestamp,L:D7LMSM,L:D7LMSM Timestamp,L:D00LM,L:D00LM Timestamp,L:D11LM,L:D11LM Timestamp,L:D12LM,L:D12LM Timestamp,L:D13LM,L:D13LM Timestamp,L:D14LM,L:D14LM Timestamp,L:D21LM,L:D21LM Timestamp,L:D22LM,L:D22LM Timestamp,L:D23LM,L:D23LM Timestamp,L:D24LM,L:D24LM Timestamp,L:D31LM,L:D31LM Timestamp,L:D32LM,L:D32LM Timestamp,L:D33LM,L:D33LM Timestamp,L:D34LM,L:D34LM Timestamp,L:D41LM,L:D41LM Timestamp,L:D42LM,L:D42LM Timestamp,L:D43LM,L:D43LM Timestamp,L:D44LM,L:D44LM Timestamp,L:D51LM,L:D51LM Timestamp,L:D52LM,L:D52LM Timestamp,L:D53LM,L:D53LM Timestamp,L:D54LM,L:D54LM Timestamp,L:D61LM,L:D61LM Timestamp,L:D62LM,L:D62LM Timestamp,L:D63LM,L:D63LM Timestamp,L:D64LM,L:D64LM Timestamp,L:D71LM,L:D71LM Timestamp,L:D72LM,L:D72LM Timestamp,L:D73LM,L:D73LM Timestamp,L:D74LM,L:D74LM Timestamp,L:RFBPAH,L:RFBPAH Timestamp,L:TO1IN,L:TO1IN Timestamp,L:TO5OUT,L:TO5OUT Timestamp,L:V5QSET,L:V5QSET Timestamp
0,24.461794846918856,2021-11-26 17:46:28.299000+00:00,25.536396313498532,2021-11-26 17:46:28.299000+00:00,165.63720703125,2021-11-26 17:46:28.299000+00:00,14.373779296875,2021-11-26 17:46:28.299000+00:00,0.030517578125,2021-11-26 17:46:28.299000+00:00,0.4302978515625,2021-11-26 17:46:28.299000+00:00,-0.2410888671875,2021-11-26 17:46:28.299000+00:00,-0.1220703125,2021-11-26 17:46:28.299000+00:00,2.05078125,2021-11-26 17:46:28.299000+00:00,1.91650390625,2021-11-26 17:46:28.299000+00:00,-0.0640869140625,2021-11-26 17:46:28.299000+00:00,0.213623046875,2021-11-26 17:46:28.299000+00:00,0.5828857421875,2021-11-26 17:46:28.299000+00:00,1.1566162109375,2021-11-26 17:46:28.299000+00:00,0.0640869140625,2021-11-26 17:46:28.299000+00:00,1.800537109375,2021-11-26 17:46:28.299000+00:00,1.1016845703125,2021-11-26 17:46:28.299000+00:00,-0.0732421875,2021-11-26 17:46:28.299000+00:00,0.0762939453125,2021-11-26 17:46:28.299000+00:00,0.457763671875,2021-11-26 17:46:28.299000+00:00,-0.1068115234375,2021-11-26 17:46:28.299000+00:00,0.1739501953125,2021-11-26 17:46:28.299000+00:00,-0.0030517578125,2021-11-26 17:46:28.299000+00:00,0.396728515625,2021-11-26 17:46:28.299000+00:00,0.750732421875,2021-11-26 17:46:28.299000+00:00,-0.006103515625,2021-11-26 17:46:28.299000+00:00,-0.0396728515625,2021-11-26 17:46:28.299000+00:00,0.20751953125,2021-11-26 17:46:28.299000+00:00,0.48828125,2021-11-26 17:46:28.299000+00:00,0.08544921875,2021-11-26 17:46:28.299000+00:00,0.0579833984375,2021-11-26 17:46:28.299000+00:00,0.13427734375,2021-11-26 17:46:28.299000+00:00,0.1007080078125,2021-11-26 17:46:28.299000+00:00,227.55126953125,2021-11-26 17:46:28.299000+00:00,26.7931593565686,2021-11-26 17:46:28.299000+00:00,24.955460966848204,2021-11-26 17:46:28.299000+00:00,-32.29999542236328,2021-11-26 17:46:28.300000+00:00
1,23.83604919455759,2021-11-26 17:46:28.366000+00:00,24.878005387509155,2021-11-26 17:46:28.366000+00:00,165.63720703125,2021-11-26 17:46:28.366000+00:00,13.958740234375,2021-11-26 17:46:28.366000+00:00,0.445556640625,2021-11-26 17:46:28.366000+00:00,0.177001953125,2021-11-26 17:46:28.366000+00:00,0.0213623046875,2021-11-26 17:46:28.366000+00:00,-0.2471923828125,2021-11-26 17:46:28.366000+00:00,1.9927978515625,2021-11-26 17:46:28.366000+00:00,1.7120361328125,2021-11-26 17:46:28.366000+00:00,-0.286865234375,2021-11-26 17:46:28.366000+00:00,0.201416015625,2021-11-26 17:46:28.366000+00:00,0.50048828125,2021-11-26 17:46:28.366000+00:00,1.068115234375,2021-11-26 17:46:28.366000+00:00,0.006103515625,2021-11-26 17:46:28.366000+00:00,1.5472412109375,2021-11-26 17:46:28.366000+00:00,0.91552734375,2021-11-26 17:46:28.366000+00:00,0.1312255859375,2021-11-26 17:46:28.366000+00:00,0.0091552734375,2021-11-26 17:46:28.366000+00:00,0.6500244140625,2021-11-26 17:46:28.366000+00:00,-0.0152587890625,2021-11-26 17:46:28.366000+00:00,0.35400390625,2021-11-26 17:46:28.366000+00:00,0.2227783203125,2021-11-26 17:46:28.366000+00:00,0.4730224609375,2021-11-26 17:46:28.366000+00:00,0.750732421875,2021-11-26 17:46:28.366000+00:00,-0.0732421875,2021-11-26 17:46:28.366000+00:00,-0.0152587890625,2021-11-26 17:46:28.366000+00:00,0.35400390625,2021-11-26 17:46:28.366000+00:00,0.396728515625,2021-11-26 17:46:28.366000+00:00,-0.0518798828125,2021-11-26 17:46:28.366000+00:00,-0.0030517578125,2021-11-26 17:46:28.366000+00:00,0.1495361328125,2021-11-26 17:46:28.366000+00:00,-0.1312255859375,2021-11-26 17:46:28.366000+00:00,227.60009765625,2021-11-26 17:46:28.366000+00:00,26.203372829851684,2021-11-26 17:46:28.366000+00:00,24.29078023862988,2021-11-26 17:46:28.366000+00:00,-31.299999237060547,2021-11-26 17:46:28.366000+00:00
2,24.161072421754945,2021-11-26 17:46:28.433000+00:00,25.11057133649048,2021-11-26 17:46:28.433000+00:00,165.63720703125,2021-11-26 17:46:28.433000+00:00,12.646484375,2021-11-26 17:46:28.433000+00:00,0.3753662109375,2021-11-26 17:46:28.433000+00:00,0.3814697265625,2021-11-26 17:46:28.433000+00:00,0.2410888671875,2021-11-26 17:46:28.433000+00:00,-0.274658203125,2021-11-26 17:46:28.433000+00:00,1.837158203125,2021-11-26 17:46:28.433000+00:00,1.5380859375,2021-11-26 17:46:28.433000+00:00,-0.3997802734375,2021-11-26 17:46:28.433000+00:00,0.4058837890625,2021-11-26 17:46:28.433000+00:00,0.506591796875,2021-11-26 17:46:28.433000+00:00,0.6378173828125,2021-11-26 17:46:28.433000+00:00,0.0701904296875,2021-11-26 17:46:28.433000+00:00,1.2603759765625,2021-11-26 17:46:28.433000+00:00,1.0162353515625,2021-11-26 17:46:28.433000+00:00,-0.006103515625,2021-11-26 17:46:28.433000+00:00,0.08544921875,2021-11-26 17:46:28.433000+00:00,0.3631591796875,2021-11-26 17:46:28.433000+00:00,0.0701904296875,2021-11-26 17:46:28.433000+00:00,0.1739501953125,2021-11-26 17:46:28.433000+00:00,0.0030517578125,2021-11-26 17:46:28.433000+00:00,0.40283203125,2021-11-26 17:46:28.433000+00:00,0.732421875,2021-11-26 17:46:28.433000+00:00,-0.054931640625,2021-11-26 17:46:28.433000+00:00,0.0274658203125,2021-11-26 17:46:28.433000+00:00,0.3021240234375,2021-11-26 17:46:28.433000+00:00,0.29296875,2021-11-26 17:46:28.433000+00:00,0.2105712890625,2021-11-26 17:46:28.433000+00:00,0.0244140625,2021-11-26 17:46:28.433000+00:00,0.042724609375,2021-11-26 17:46:28.433000+00:00,0.1739501953125,2021-11-26 17:46:28.433000+00:00,227.4658203125,2021-11-26 17:46:28.433000+00:00,26.4655001750592,2021-11-26 17:46:28.433000+00:00,24.613142716518677,2021-11-26 17:46:28.433000+00:00,-31.349998474121094,2021-11-26 17:46:28.433000+00:00
3,23.954515604470643,2021-11-26 17:46:28.499000+00:00,25.2186653691156,2021-11-26 17:46:28.499000+00:00,165.63720703125,2021-11-26 17:46:28.499000+00:00,25.18310546875,2021-11-26 17:46:28.499000+00:00,0.3509521484375,2021-11-26 17:46:28.499000+00:00,0.750732421875,2021-11-26 17:46:28.499000+00:00,-0.03662109375,2021-11-26 17:46:28.499000+00:00,-0.0335693359375,2021-11-26 17:46:28.499000+00:00,3.8787841796875,2021-11-26 17:46:28.499000+00:00,2.5848388671875,2021-11-26 17:46:28.499000+00:00,-0.347900390625,2021-11-26 17:46:28.499000+00:00,0.3387451171875,2021-11-26 17:46:28.499000+00:00,1.324462890625,2021-11-26 17:46:28.499000+00:00,2.35595703125,2021-11-26 17:46:28.499000+00:00,0.47607421875,2021-11-26 17:46:28.499000+00:00,0.445556640625,2021-11-26 17:46:28.499000+00:00,3.5369873046875,2021-11-26 17:46:28.499000+00:00,-0.0762939453125,2021-11-26 17:46:28.499000+00:00,0.140380859375,2021-11-26 17:46:28.499000+00:00,-0.1495361328125,2021-11-26 17:46:28.499000+00:00,0.2471923828125,2021-11-26 17:46:28.499000+00:00,0.86669921875,2021-11-26 17:46:28.499000+00:00,0.1800537109375,2021-11-26 17:46:28.499000+00:00,1.318359375,2021-11-26 17:46:28.499000+00:00,1.28173828125,2021-11-26 17:46:28.499000+00:00,0.1678466796875,2021-11-26 17:46:28.499000+00:00,0.03662109375,2021-11-26 17:46:28.499000+00:00,0.2685546875,2021-11-26 17:46:28.499000+00:00,0.2044677734375,2021-11-26 17:46:28.499000+00:00,0.1190185546875,2021-11-26 17:46:28.499000+00:00,0.4669189453125,2021-11-26 17:46:28.499000+00:00,-0.01220703125,2021-11-26 17:46:28.499000+00:00,-0.079345703125,2021-11-26 17:46:28.499000+00:00,227.587890625,2021-11-26 17:46:28.499000+00:00,26.509188065927123,2021-11-26 17:46:28.499000+00:00,24.676080152677915,2021-11-26 17:46:28.499000+00:00,-31.39999771118164,2021-11-26 17:46:28.500000+00:00
4,24.024380410316805,2021-11-26 17:46:28.566000+00:00,25.33658613197937,2021-11-26 17:46:28.566000+00:00,165.63720703125,2021-11-26 17:46:28.566000+00:00,24.774169921875,2021-11-26 17:46:28.566000+00:00,0.3326416015625,2021-11-26 17:46:28.566000+00:00,0.3265380859375,2021-11-26 17:46:28.566000+00:00,0.03662109375,2021-11-26 17:46:28.566000+00:00,-0.18310546875,2021-11-26 17:46:28.566000+00:00,3.79638671875,2021-11-26 17:46:28.566000+00:00,2.3681640625,2021-11-26 17:46:28.566000+00:00,-0.2197265625,2021-11-26 17:46:28.566000+00:00,0.0457763671875,2021-11-26 17:46:28.566000+00:00,1.4312744140625,2021-11-26 17:46:28.566000+00:00,2.8533935546875,2021-11-26 17:46:28.566000+00:00,-0.115966796875,2021-11-26 17:46:28.566000+00:00,0.50048828125,2021-11-26 17:46:28.566000+00:00,3.5491943359375,2021-11-26 17:46:28.566000+00:00,-0.225830078125,2021-11-26 17:46:28.566000+00:00,0.128173828125,2021-11-26 17:46:28.566000+00:00,0.03662109375,2021-11-26 17:46:28.566000+00:00,0.3021240234375,2021-11-26 17:46:28.566000+00:00,0.9857177734375,2021-11-26 17:46:28.566000+00:00,-0.048828125,2021-11-26 17:46:28.566000+00:00,1.3580322265625,2021-11-26 17:46:28.566000+00:00,1.4495849609375,2021-11-26 17:46:28.566000+00:00,-0.1251220703125,2021-11-26 17:46:28.566000+00:00,0.262451171875,2021-11-26 17:46:28.566000+00:00,0.396728515625,2021-11-26 17:46:28.566000+00:00,0.390625,2021-11-26 17:46:28.566000+00:00,0.0518798828125,2021-11-26 17:46:28.566000+00:00,0.3997802734375,2021-11-26 17:46:28.566000+00:00,0.1129150390625,2021-11-26 17:46:28.566000+00:00,0.0701904296875,2021-11-26 17:46:28.566000+00:00,227.55126953125,2021-11-26 17:46:28.566000+00:00,26.56847877496216,2021-11-26 17:46:28.566000+00:00,24.751298064185303,2021-11-26 17:46:28.566000+00:00,-31.449996948242188,2021-11-26 17:46:28.566000+00:00
5,24.051718812604435,2021-11-26 17:46:28.632000+00:00,25.231767676100464,2021-11-26 17:46:28.632000+00:00,165.63720703125,2021-11-26 17:46:28.632000+00:00,20.69091796875,2021-11-26 17:46:28.632000+00:00,0.494384765625,2021-11-26 17:46:28.632000+00:00,0.3692626953125,2021-11-26 17:46:28.632000+00:00,0.286865234375,2021-11-26 17:46:28.632000+00:00,-0.225830078125,2021-11-26 17:46:28.632000+00:00,3.4637451171875,2021-11-26 17:46:28.632000+00:00,2.1881103515625,2021-11-26 17:46:28.632000+00:00,-0.225830078125,2021-11-26 17:46:28.632000+00:00,0.35400390625,2021-11-26 17:46:28.632000+00:00,1.28173828125,2021-11-26 17:46:28.632000+00:00,2.154541015625,2021-11-26 17:46:28.632000+00:00,0.1434326171875,2021-11-26 17:46:28.632000+00:00,0.4669189453125,2021-11-26 17:46:28.632000+00:00,2.398681640625,2021-11-26 17:46:28.632000+00:00,-0.10986328125,2021-11-26 17:46:28.632000+00:00,0.3173828125,2021-11-26 17:46:28.632000+00:00,-0.0640869140625,2021-11-26 17:46:28.632000+00:00,0.2960205078125,2021-11-26 17:46:28.632000+00:00,0.653076171875,2021-11-26 17:46:28.632000+00:00,0.0030517578125,2021-11-26 17:46:28.632000+00:00,1.2725830078125,2021-11-26 17:46:28.632000+00:00,1.0955810546875,2021-11-26 17:46:28.632000+00:00,-0.1678466796875,2021-11-26 17:46:28.632000+00:00,-0.146484375,2021-11-26 17:46:28.632000+00:00,0.274658203125,2021-11-26 17:46:28.632000+00:00,0.1983642578125,2021-11-26 17:46:28.632000+00:00,0.0152587890625,2021-11-26 17:46:28.632000+00:00,0.3997802734375,2021-11-26 17:46:28.632000+00:00,0.1617431640625,2021-11-26 17:46:28.632000+00:00,-0.0274658203125,2021-11-26 17:46:28.632000+00:00,227.4658203125,2021-11-26 17:46:28.632000+00:00,26.51854975682739,2021-11-26 17:46:28.632000+00:00,24.69603592511865,2021-11-26 17:46:28.632000+00:00,-31.49999618530273,2021-11-26 17:46:28.633000+00:00
6,23.81478599277832,2021-11-26 17:46:28.699000+00:00,24.950068075925905,2021-11-26 17:46:28.699000+00:00,165.63720703125,2021-11-26 17:46:28.699000+00:00,17.364501953125,2021-11-26 17:46:28.699000+00:00,0.5096435546875,2021-11-26 17:46:28.699000+00:00,0.30517578125,2021-11-26 17:46:28.699000+00:00,0.0640869140625,2021-11-26 17:46:28.699000+00:00,-0.3448486328125,2021-11-26 17:46:28.699000+00:00,3.2257080078125,2021-11-26 17:46:28.699000+00:00,2.337646484375,2021-11-26 17:46:28.699000+00:00,-0.57373046875,2021-11-26 17:46:28.699000+00:00,0.5401611328125,2021-11-26 17:46:28.699000+00:00,0.9002685546875,2021-11-26 17:46:28.699000+00:00,1.6815185546875,2021-11-26 17:46:28.699000+00:00,0.1373291015625,2021-11-26 17:46:28.699000+00:00,0.45166015625,2021-11-26 17:46:28.699000+00:00,1.7303466796875,2021-11-26 17:46:28.699000+00:00,-0.06103515625,2021-11-26 17:46:28.699000+00:00,0.054931640625,2021-11-26 17:46:28.699000+00:00,-0.042724609375,2021-11-26 17:46:28.699000+00:00,0.0091552734375,2021-11-26 17:46:28.699000+00:00,0.6103515625,2021-11-26 17:46:28.699000+00:00,0.0823974609375,2021-11-26 17:46:28.699000+00:00,0.9063720703125,2021-11-26 17:46:28.699000+00:00,0.994873046875,2021-11-26 17:46:28.699000+00:00,-0.06103515625,2021-11-26 17:46:28.699000+00:00,0.042724609375,2021-11-26 17:46:28.699000+00:00,0.45166015625,2021-11-26 17:46:28.699000+00:00,0.1495361328125,2021-11-26 17:46:28.699000+00:00,0.1617431640625,2021-11-26 17:46:28.699000+00:00,0.06103515625,2021-11-26 17:46:28.699000+00:00,0.01220703125,2021-11-26 17:46:28.699000+00:00,0.2197265625,2021-11-26 17:46:28.699000+00:00,227.52685546875,2021-11-26 17:46:28.699000+00:00,26.209613957118528,2021-11-26 17:46:28.699000+00:00,24.43507582397058,2021-11-26 17:46:28.699000+00:00,-31.54999542236328,2021-11-26 17:46:28.700000+00:00
7,24.27650123141382,2021-11-26 17:46:28.766000+00:00,25.487262662305294,2021-11-26 17:46:28.766000+00:00,165.63720703125,2021-11-26 17:46:28.766000+00:00,19.976806640625,2021-11-26 17:46:28.766000+00:00,0.3326416015625,2021-11-26 17:46:28.766000+00:00,0.286865234375,2021-11-26 17:46:28.766000+00:00,0.079345703125,2021-11-26 17:46:28.766000+00:00,-0.1495361328125,2021-11-26 17:46:28.766000+00:00,3.619384765625,2021-11-26 17:46:28.766000+00:00,2.4658203125,2021-11-26 17:46:28.766000+00:00,-0.238037109375,2021-11-26 17:46:28.766000+00:00,0.054931640625,2021-11-26 17:46:28.766000+00:00,1.2237548828125,2021-11-26 17:46:28.766000+00:00,1.9378662109375,2021-11-26 17:46:28.766000+00:00,0.0885009765625,2021-11-26 17:46:28.766000+00:00,0.6011962890625,2021-11-26 17:46:28.766000+00:00,2.4169921875,2021-11-26 17:46:28.766000+00:00,-0.115966796875,2021-11-26 17:46:28.766000+00:00,0.0396728515625,2021-11-26 17:46:28.766000+00:00,-0.1922607421875,2021-11-26 17:46:28.766000+00:00,0.2288818359375,2021-11-26 17:46:28.766000+00:00,0.4974365234375,2021-11-26 17:46:28.766000+00:00,0.06103515625,2021-11-26 17:46:28.766000+00:00,1.080322265625,2021-11-26 17:46:28.766000+00:00,1.1260986328125,2021-11-26 17:46:28.766000+00:00,-0.01220703125,2021-11-26 17:46:28.766000+00:00,-0.0579833984375,2021-11-26 17:46:28.766000+00:00,0.2410888671875,2021-11-26 17:46:28.766000+00:00,0.4150390625,2021-11-26 17:46:28.766000+00:00,0.0335693359375,2021-11-26 17:46:28.766000+00:00,0.494384765625,2021-11-26 17:46:28.766000+00:00,-0.079345703125,2021-11-26 17:46:28.766000+00:00,0.32958984375,2021-11-26 17:46:28.766000+00:00,227.50244140625,2021-11-26 17:46:28.766000+00:00,26.78691822930176,2021-11-26 17:46:28.766000+00:00,24.938575313244502,2021-11-26 17:46:28.766000+00:00,-31.599994659423828,2021-11-26 17:46:28.766000+00:00
8,23.899838799895388,2021-11-26 17:46:28.832000+00:00,25.10074460625183,2021-11-26 17:46:28.832000+00:00,165.63720703125,2021-11-26 17:46:28.832000+00:00,19.354248046875,2021-11-26 17:46:28.832000+00:00,0.3265380859375,2021-11-26 17:46:28.832000+00:00,0.4791259765625,2021-11-26 17:46:28.832000+00:00,0.1220703125,2021-11-26 17:46:28.832000+00:00,-0.13427734375,2021-11-26 17:46:28.832000+00:00,3.509521484375,2021-11-26 17:46:28.832000+00:00,2.4627685546875,2021-11-26 17:46:28.832000+00:00,-0.2288818359375,2021-11-26 17:46:28.832000+00:00,0.0579833984375,2021-11-26 17:46:28.832000+00:00,1.1077880859375,2021-11-26 17:46:28.832000+00:00,2.5787353515625,2021-11-26 17:46:28.832000+00:00,-0.0701904296875,2021-11-26 17:46:28.832000+00:00,0.5889892578125,2021-11-26 17:46:28.832000+00:00,1.5777587890625,2021-11-26 17:46:28.832000+00:00,-0.1708984375,2021-11-26 17:46:28.832000+00:00,0.06103515625,2021-11-26 17:46:28.832000+00:00,0.1129150390625,2021-11-26 17:46:28.832000+00:00,0.2197265625,2021-11-26 17:46:28.832000+00:00,0.7354736328125,2021-11-26 17:46:28.832000+00:00,0.25634765625,2021-11-26 17:46:28.832000+00:00,0.7598876953125,2021-11-26 17:46:28.832000+00:00,0.81787109375,2021-11-26 17:46:28.832000+00:00,-0.1220703125,2021-11-26 17:46:28.832000+00:00,0.1739501953125,2021-11-26 17:46:28.832000+00:00,0.2532958984375,2021-11-26 17:46:28.832000+00:00,0.3509521484375,2021-11-26 17:46:28.832000+00:00,0.09765625,2021-11-26 17:46:28.832000+00:00,0.311279296875,2021-11-26 17:46:28.832000+00:00,0.030517578125,2021-11-26 17:46:28.832000+00:00,-0.0335693359375,2021-11-26 17:46:28.832000+00:00,227.5634765625,2021-11-26 17:46:28.832000+00:00,26.39060664785705,2021-11-26 17:46:28.832000+00:00,24.559415636870543,2021-11-26 17:46:28.832000+00:00,-31.64999389648437,2021-11-26 17:46:28.833000+00:00
9,24.30080203344727,2021-11-26 17:46:28.899000+00:00,25.447955741350707,2021-11-26 17:46:28.899000+00:00,165.63720703125,2021-11-26 17:46:28.899000+00:00,17.19970703125,2021-11-26 17:46:28.899000+00:00,0.469970703125,2021-11-26 17:46:28.899000+00:00,0.25634765625,2021-11-26 17:46:28.899000+00:00,0.079345703125,2021-11-26 17:46:28.899000+00:00,-0.0579833984375,2021-11-26 17:46:28.899000+00:00,3.0975341796875,2021-11-26 17:46:28.899000+00:00,2.0263671875,2021-11-26 17:46:28.899000+00:00,-0.177001953125,2021-11-26 17:46:28.899000+00:00,0.103759765625,2021-11-26 17:46:28.899000+00:00,1.397705078125,2021-11-26 17:46:28.899000+00:00,2.0782470703125,2021-11-26 17:46:28.899000+00:00,0.1861572265625,2021-11-26 17:46:28.899000+00:00,0.8636474609375,2021-11-26 17:46:28.899000+00:00,1.23291015625,2021-11-26 17:46:28.899000+00:00,0.3387451171875,2021-11-26 17:46:28.899000+00:00,0.048828125,2021-11-26 17:46:28.899000+00:00,-0.13427734375,2021-11-26 17:46:28.899000+00:00,0.244140625,2021-11-26 17:46:28.899000+00:00,0.4150390625,2021-11-26 17:46:28.899000+00:00,0.250244140625,2021-11-26 17:46:28.899000+00:00,0.6866455078125,2021-11-26 17:46:28.899000+00:00,0.5859375,2021-11-26 17:46:28.899000+00:00,-0.1983642578125,2021-11-26 17:46:28.899000+00:00,-0.2044677734375,2021-11-26 17:46:28.899000+00:00,0.25634765625,2021-11-26 17:46:28.899000+00:00,0.323486328125,2021-11-26 17:46:28.899000+00:00,0.0030517578125,2021-11-26 17:46:28.899000+00:00,0.1678466796875,2021-11-26 17:46:28.899000+00:00,0.0946044921875,2021-11-26 17:46:28.899000+00:00,0.03662109375,2021-11-26 17:46:28.899000+00:00,227.5634765625,2021-11-26 17:46:28.899000+00:00,26.81188273836914,2021-11-26 17:46:28.899000+00:00,24.917084481385253,2021-11-26 17:46:28.899000+00:00,-31.69999313354492,2021-11-26 17:46:28.900000+00:00
